,t,pressure_difference,phi,phi_min,R_tot,Q_tot,Q_norm,pt_averaged,kp_p,kp_n,Ap,Dp,kn_p,kn_n,An,Dn,c,dphidt,dApdt,dDpdt,dAndt,dDndt,dcdt
0,0.0,34.18,1.0,0.9997396738251875,9.207545330665768e-06,3712172.872629078,0.9996135267593498,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,1.0,0.0,5.7408659443685215e-05,0.0016092580072229817,1.0,0.0,0.9090909090909091,-4.396597494955128e-08,-1.513255564491692e-07,3.053274443772612e-17,-5.779453356851439e-05,4.453474088854444e-12,0.08628088788161792
1,0.0026666666666666666,34.18,0.9999999998827575,0.9997396738155127,9.207545330798068e-06,3712172.8725757394,0.9996135267449867,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999995964651,8.142065183393632e-20,5.7878137831066754e-05,0.0016087885288356002,0.9999998458812438,1.1875930903611851e-14,0.9093209914585934,-4.4141968358090956e-08,-1.5132421133891203e-07,9.159788328453432e-17,-5.7986155618794e-05,1.3420025645436255e-11,0.02414947384918875
2,0.005333333333333333,34.18,0.9999999997650455,0.9997396738057989,9.207545330930898e-06,3712172.8725221865,0.9996135267305659,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999991929339,3.2568167392602785e-19,5.801020345601732e-05,0.0016086564632106493,0.9999996912514955,4.766266595810853e-14,0.9093853900555245,-4.4317960241418956e-08,-1.5132286624080615e-07,1.5266247048744822e-16,-5.80399299708938e-05,2.2411499370607403e-11,0.006759287051383289
3,0.008,34.18,0.9999999996468643,0.9997396737960467,9.207545331064256e-06,3712172.8724684212,0.999613526716088,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999987894063,7.3278159522588975e-19,5.804721980057095e-05,0.0016086194468660957,0.9999995364783488,1.0742666427972827e-13,0.9094034148209948,-4.4493950591465384e-08,-1.513215211545432e-07,2.1372652004695668e-16,-5.8054820896691426e-05,3.1403965113213e-11,0.001891884611193717
4,0.010666666666666666,34.18,0.9999999995282137,0.9997396737862555,9.207545331198145e-06,3712172.872414442,0.9996135267015525,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999983858822,1.3027189820177743e-18,5.8057584534726154e-05,0.0016086090821319408,0.9999993816654931,1.911705712482963e-13,0.9094084598466247,-4.46699393517409e-08,-1.5132017608018483e-07,2.747900291629622e-16,-5.805880497822771e-05,4.039499164492556e-11,0.0005295297020202483
5,0.013333333333333332,34.18,0.9999999994090939,0.9997396737764258,9.207545331332563e-06,3712172.872360249,0.9996135266869595,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999979823617,2.035492393119007e-18,5.806048589511661e-05,0.0016086061807715503,0.9999992268420131,2.9889054896809776e-13,0.90940987192583,-4.484592657066494e-08,-1.5131883101810112e-07,3.3585298103487855e-16,-5.8059734452565715e-05,4.938511247645365e-11,0.00014821525839980865
6,0.016,34.18,0.9999999992895048,0.9997396737665573,9.20754533146751e-06,3712172.8723058426,0.999613526672309,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999975788448,2.9311003425453496e-18,5.806129801034714e-05,0.0016086053686563196,0.9999990720160546,4.3058418223864084e-13,0.9094102671665191,-4.5021912240167606e-08,-1.5131748596786036e-07,3.9691539526339014e-16,-5.8059808817629524e-05,5.837481761561177e-11,4.148778863788394e-05
7,0.018666666666666665,34.18,0.9999999991694464,0.99973967375665,9.207545331602988e-06,3712172.8722512224,0.9996135266576008,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999971753315,3.9895413965810564e-18,5.806152533617095e-05,0.0016086051413304958,0.9999989171898978,5.862503625469389e-13,0.9094103778006221,-4.519789635217898e-08,-1.5131614092940082e-07,4.579772746485949e-16,-5.805964383261242e-05,6.736433958163024e-11,1.1615462935932186e-05
8,0.021333333333333333,34.18,0.9999999990489187,0.999739673746704,9.207545331738994e-06,3712172.8721963894,0.9996135266428353,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999967718218,5.210814128977309e-18,5.806158898143011e-05,0.0016086050776852366,0.9999987623641808,7.658886014312863e-13,0.9094104087751899,-4.537387891476896e-08,-1.5131479590309266e-07,5.190386023899067e-16,-5.8059411855066254e-05,7.635377014331223e-11,3.2544021588698513e-06
9,0.024,34.18,0.9999999989279217,0.9997396737367193,9.207545331875531e-06,3712172.872141342,0.9996135266280123,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999963683157,6.594917068683727e-18,5.806160681347095e-05,0.001608605059853196,0.9999986075390825,9.694986551467855e-13,0.9094104174535956,-4.554985995214727e-08,-1.5131345088862734e-07,5.800993924878143e-16,-5.805916112759236e-05,8.534314244933371e-11,9.142073875700873e-07
10,0.026666666666666665,34.18,0.9999999988064554,0.9997396737266959,9.207545332012596e-06,3712172.872086082,0.9996135266131319,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999959648131,8.141848781984564e-18,5.8061611822743115e-05,0.0016086050548439236,0.9999984527146528,1.1970803683450087e-12,0.909410419891482,-4.572583940782458e-08,-1.5131210588606667e-07,6.411596421422203e-16,-5.805890515305138e-05,9.433246787581309e-11,2.5921462754041613e-07
11,0.029333333333333333,34.18,0.9999999986845198,0.9997396737166339,9.207545332150192e-06,3712172.8720306084,0.9996135265981939,44.113829801035656,1.5132622900815295e-07,0.003333182007104325,0.9999999955613142,9.851607827697152e-18,5.806161324307363e-05,0.001608605053423593,0.9999982978909058,1.4486336160138436e-12,0.9094104205827209,-4.590181731408051e-08,-1.513107608956573e-07,7.02219340152734e-16,-5.805864771081358e-05,1.0332175018684376e-10,7.589919803763223e-08
