t1,y1
0.0,1.0
0.07757575757575758,1.0
0.15515151515151515,1.0
0.23272727272727273,1.0
0.3103030303030303,1.0
0.3878787878787879,1.0
0.46545454545454545,1.0
0.543030303030303,1.0
0.6206060606060606,1.0
0.6981818181818182,1.0
0.7757575757575758,1.0
0.8533333333333333,1.0
0.9309090909090909,1.0
1.0084848484848485,1.0
1.086060606060606,1.0
1.1636363636363636,1.0
1.2412121212121212,1.0
1.3187878787878788,1.0
1.3963636363636365,1.0
1.4739393939393939,1.0
1.5515151515151515,1.0
1.6290909090909091,1.0
1.7066666666666666,1.0
1.7842424242424242,1.0
1.8618181818181818,1.0
1.9393939393939394,1.0
2.016969696969697,1.0
2.0945454545454547,1.0
2.172121212121212,1.0
2.2496969696969695,1.0
2.327272727272727,1.0
2.404848484848485,1.0
2.4824242424242424,1.0
2.56,1.0
2.6375757575757577,1.0
2.7151515151515153,1.0
2.792727272727273,1.0
2.87030303030303,1.0
2.9478787878787878,1.0
3.0254545454545454,1.0
3.103030303030303,1.0
3.1806060606060607,1.0
3.2581818181818183,1.0
3.335757575757576,1.0
3.413333333333333,1.0
3.4909090909090907,1.0
3.5684848484848484,1.0
3.646060606060606,1.0
3.7236363636363636,1.0
3.8012121212121213,1.0
3.878787878787879,1.0
3.9563636363636365,1.0
4.033939393939394,1.0
4.111515151515151,1.0
4.189090909090909,1.0
4.266666666666667,1.0
4.344242424242424,1.0
4.421818181818182,1.0
4.499393939393939,1.0
4.576969696969697,1.0
4.654545454545454,1.0
4.732121212121212,1.0
4.80969696969697,1.0
4.887272727272728,1.0
4.964848484848485,1.0
5.042424242424242,1.0
5.12,1.0
5.197575757575757,1.0
5.275151515151515,1.0
5.352727272727273,1.0
5.430303030303031,1.0
5.507878787878788,1.0
5.585454545454546,1.0
5.663030303030303,1.0
5.74060606060606,1.0
5.818181818181818,1.0
5.8957575757575755,1.0
5.973333333333334,1.0
6.050909090909091,1.0
6.128484848484849,1.0
6.206060606060606,1.0
6.283636363636363,1.0
6.361212121212121,1.0
6.4387878787878785,1.0
6.516363636363637,1.0
6.593939393939394,1.0
6.671515151515152,1.0
6.749090909090909,1.0
6.826666666666666,1.0
6.904242424242424,1.0
6.9818181818181815,1.0
7.0593939393939396,1.0
7.136969696969697,1.0
7.214545454545455,1.0
7.292121212121212,1.0
7.36969696969697,1.0
7.447272727272727,1.0
7.5248484848484845,1.0
7.6024242424242425,1.0
7.68,1.0
7.68,1.0
8.134545454545455,0.8472689844127195
8.589090909090908,0.7221436056565893
9.043636363636363,0.6196342342059822
9.498181818181818,0.5356530999256295
9.952727272727273,0.4668512839042235
10.407272727272726,0.41048517348660296
10.861818181818181,0.36430705512671957
11.316363636363636,0.32647548222839196
11.77090909090909,0.29548184370879305
12.225454545454545,0.2700902050564645
12.68,0.24928802292342056
13.134545454545453,0.23224576789524198
13.58909090909091,0.21828384531481637
14.043636363636363,0.2068454950601415
14.498181818181818,0.19747458959959618
14.952727272727273,0.18979744497687512
15.407272727272726,0.183507919401537
